tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,2,7,3,8.1,80,4.1,66,0,0,30,0,2,4,10,10806.50033
2014,2,7,4,8.2,85,4.5,60,5,0,20,0,2,4,10,8706.983667
2014,2,7,5,7.1,85,4.5,63,5,0,60,1,2.5,4,10,9066.024
2014,2,7,6,8.3,85,5,48,5,0,70,1,2.5,4,10,11463.65633
2014,2,7,7,8.3,85,4.7,54,5,0,70,1,3,4,10,11437.36233
2014,2,8,0,8.1,85,4.7,52,5,0,60,1,2,4,10,10295.51667
2014,2,8,1,8.1,81,4.2,38,5,0,60,1,2,4,10,9730.382333
2014,2,8,2,7,80,4.3,27,5,0,62,1,1.5,4,10,4801.754
2014,2,8,3,6.1,76,3.6,354,0,0,30,0,1.5,4,10,4632.900667
2014,2,8,4,5.1,70,3.3,327,0,0,30,0,1,4,10,2740.059333
2014,2,8,5,5,70,3.2,329,0,0,30,0,1,4,10,5185.454667
2014,2,8,6,4.1,70,4.3,338,0,0,30,0,1,4,10,11939.56067
2014,2,8,7,4.1,65,4.6,331,0,0,30,0,1,4,10,10332.76733
2014,2,9,0,3.9,60,5.4,332,0,0,30,0,1,4,10,7142.306333
2014,2,9,1,4.9,55,5.1,335,0,0,20,0,1,3,10,10517.66933
2014,2,9,2,5.1,55,5.1,332,0,0,20,0,1,3,10,15088.22867
2014,2,9,3,4.2,60,5.2,335,0,0,20,0,1,3,10,17426.271
